,xcoord,ycoord,year,datestop,timestop,crimsusp,arstmade,addrtyp,rescode,premtype,premname,addrnum,stname,stinter,crossst,city,state,zip,lat,long
119,996679,158901,2015,1032015,100,FEL,N,L, , , ,1930,EAST 17 STREET,AVENUE T,AVENUE S,BROOKLYN, , ,40.733242,-73.981127
120,996679,158901,2015,1032015,100,FEL,N,L, , , ,1930,EAST 17 STREET,AVENUE T,AVENUE S,BROOKLYN, , ,40.733242,-73.981127
121,996726,156716,2015,1032015,100,FEL,N,L, , , , , ,EAST 16 STREET,AVENUE V,BROOKLYN, , ,40.73652,-73.990726
122,1028406,187109,2015,1032015,105,FELONY,Y,L, , , ,98-08,ROCKAWAY BOULEVARD,99 STREET,98 STREET,QUEENS, , ,40.714269,-74.005973
123,945051,137578,2015,1032015,125,COMM BURGS,N,L, , ,PARKING LOT, , ,HILLSIDE TERRACE,MANSION AVENUE,STATEN IS, , ,40.858744,-73.930121
124,985096,198703,2015,1032015,130,MISD,N,L, , ,SIDEWALK, , ,CATHERINE STREET,MADISON STREET,MANHATTAN, , ,40.709583,-73.997934
125,993473,162286,2015,1032015,331,GLA,Y,L, , ,SIDEWALK, , ,EAST 7 STREET,AVENUE O,BROOKLYN, , ,40.733215,-74.003031
126,993473,162286,2015,1032015,331,GLA,N,L, , ,SIDEWALK, , ,EAST 7 STREET,AVENUE O,BROOKLYN, , ,40.733215,-74.003031
127,999146,197145,2015,1032015,400,FEL,N,L, , ,STREET,90,MESEROLE STREET,MANHATTAN AVENUE,LEONARD STREET,BROOKLYN, , ,40.714269,-74.005973
128,999146,197145,2015,1032015,400,FEL,N,L, , ,STREET,90,MESEROLE STREET,MANHATTAN AVENUE,LEONARD STREET,BROOKLYN, , ,40.714269,-74.005973
129,1020436,212219,2015,1032015,1046,ASSAULT 2,Y,L, , ,CAFE,40-08A,JUNCTION BOULEVARD,40 ROAD,ROOSEVELT AVENUE,QUEENS, , ,42.97014,-77.08384
130,987798,184163,2015,1032015,1220,ASSAULT FELONY,N,L, , ,STREET, , ,6 STREET,4 AVENUE,BROOKLYN, , ,40.729957,-73.990784
131,1000846,226964,2015,1032015,1221,F,N,L, , ,STREET, , ,1 AVENUE,EAST 106 STREET,MANHATTAN, , ,40.794284,-73.951111
132,1000726,227645,2015,1032015,1221,F,N,L, , ,STORE,339,EAST 108 STREET,1 AVENUE,2 AVENUE,MANHATTAN, , ,40.791304,-73.940268
133,1000789,200827,2015,1032015,1855,MISD,N,L, , ,STREET,60,KINGSLAND AVENUE,FROST STREET,JACKSON STREET,BROOKLYN, , ,42.858851,-78.127898
134,1013169,255021,2015,1032015,1919,PETIT LARCENY,N,L, , ,PUBLIC SIDEWALK, , ,CRESTON AVENUE,EAST KINGSBRIDGE ROAD,BRONX, , ,43.001058,-77.489677
135,1009455,183363,2015,1032015,2015,ROBBERY,N,L, , ,LAUNDROMAT,1735,PITKIN AVENUE,OSBORN STREET,THATFORD AVENUE,BROOKLYN, , ,40.714269,-74.005973
136,1011117,253835,2015,1032015,2130,FEL,N,L, , ,STREET,2463,GRAND AVENUE,WEST 188 STREET,WEST FORDHAM ROAD,BRONX, , ,40.713249,-73.977586
137,1008123,244271,2015,1032015,2200,CPW,N,L, , ,STREET, , ,SHERIDAN AVENUE,MARCY PLACE,BRONX, , ,40.70587,-74.013254
